"tripduration","start_time","end_time","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender","bike type"
375,"2019-04-22 18:08:05.6380","2019-04-22 18:14:21.5120",29,"4th Street S & 19th Ave",44.97003,-93.24519,210,"Civil Engineering",44.976096,-93.231958,599,"Subscriber",1997,1,"Classic"
2122,"2019-04-22 18:11:38.1630","2019-04-22 18:47:00.9520",31,"Hennepin County Government Center",44.976602,-93.266701,45,"Franklin & Portland",44.96284129291228,-93.26752066612244,1894,"Subscriber",1981,2,"Classic"
1304,"2019-04-22 18:17:19.8870","2019-04-22 18:39:04.4100",29,"4th Street S & 19th Ave",44.97003,-93.24519,102,"West 15th Street & Willow",44.968237,-93.281991,189,"Customer",1969,0,"Classic"
789,"2019-04-22 18:18:04.9500","2019-04-22 18:31:14.2960",120,"Washington Ave SE & Union Street SE",44.97394,-93.2321,92,"6th Ave SE & University Ave",44.983281,-93.24812,1465,"Customer",1993,2,"Classic"
1472,"2019-04-22 18:22:37.6850","2019-04-22 18:47:10.1800",95,"Gateway Park",44.9825943,-93.2675139,174,"Marshall Street NE & Lowry Ave",45.01312,-93.27166,1048,"Subscriber",1981,1,"Classic"
467,"2019-04-22 18:25:57.8060","2019-04-22 18:33:44.8890",120,"Washington Ave SE & Union Street SE",44.97394,-93.2321,188,"Sanford Hall",44.980831,-93.240282,326,"Subscriber",1998,2,"Classic"
656,"2019-04-22 18:29:56.4200","2019-04-22 18:40:53.2650",53,"2nd Ave N & N 6th Street",44.980536,-93.275626,92,"6th Ave SE & University Ave",44.983281,-93.24812,362,"Customer",1988,1,"Classic"
448,"2019-04-22 18:29:56.7510","2019-04-22 18:37:25.4000",61,"McNamara Center",44.9743,-93.22854,188,"Sanford Hall",44.980831,-93.240282,774,"Customer",2000,1,"Classic"
379,"2019-04-22 18:31:10.4390","2019-04-22 18:37:30.0300",61,"McNamara Center",44.9743,-93.22854,188,"Sanford Hall",44.980831,-93.240282,1911,"Customer",1999,1,"Classic"
363,"2019-04-22 18:33:47.6840","2019-04-22 18:39:51.3670",29,"4th Street S & 19th Ave",44.97003,-93.24519,190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,866,"Subscriber",1994,2,"Classic"
684,"2019-04-22 18:41:01.8290","2019-04-22 18:52:26.0320",26,"Coffman Union",44.973378,-93.234762,167,"11th Ave S & S 2nd Street",44.97621996364661,-93.25197726488113,1009,"Customer",1958,1,"Classic"
619,"2019-04-22 18:42:15.6000","2019-04-22 18:52:35.4850",26,"Coffman Union",44.973378,-93.234762,167,"11th Ave S & S 2nd Street",44.97621996364661,-93.25197726488113,332,"Subscriber",1964,2,"Classic"
235,"2019-04-22 18:59:27.9390","2019-04-22 19:03:23.3030",148,"Chicago Ave & S Washington Ave",44.977424322594445,-93.25676500797272,17,"Washington & Cedar",44.97344,-93.24748,401,"Customer",1990,1,"Classic"
215,"2019-04-22 19:01:32.7260","2019-04-22 19:05:08.0350",45,"Franklin & Portland",44.96284129291228,-93.26752066612244,34,"Franklin & 11th Ave",44.96256895253962,-93.25830459594727,1924,"Customer",1964,1,"Classic"
