Number,Name,Latitude,Longitude,Total docks
30132,Kellogg Blvd & Wabasha Street,44.943846,-93.09227,15
30133,Schmidt Brewery,44.92898,-93.124281,15
30134,Upper Landing,44.940902,-93.098712,19
30135,7th Street W & Grand Ave,44.94144,-93.10624,15
30136,Science Museum of Minnesota,44.942846,-93.097836,15
30137,Selby Ave & Virginia Street,44.9467,-93.1151,19
30138,University Ave & Western Ave,44.95562,-93.11665,15
30139,E 14th Street & N Robert Street ,44.954697,-93.097817,15
30140,Rice Street & University Ave W,44.95562146,-93.10574323,15
30141,N Robert Street & E 10th Street,44.951132,-93.094545,19
30142,9th Street N & Hawthorne Ave,44.97731428,-93.27776134,27
30143,Chicago Ave & S Washington Ave,44.977521,-93.256736,19
30144,N 4th Ave & W River Parkway,44.988461,-93.269087,15
30145,Minneapolis Park & Recreation Board,45.00095,-93.277037,15
30146,North Mississippi Regional Park,45.042435,-93.283734,27
30147,Lake Street & West River Parkway,44.948452,-93.206201,15
30148,46th Street Light Rail Station,44.920466,-93.21953,15
30149,Minnehaha Park,44.916906,-93.213587,27
30150,Fort Snelling Visitor Center,44.894044,-93.187381,19
30151,Boom Island Park,44.99254,-93.270256,15
30152,Broadway & Marshall Street NE,44.998613,-93.268633,15
30153,Coldwater Spring,44.905043,-93.198283,15
30154,11th Ave S & S 2nd Street,44.97673,-93.252189,23
30155,University of St. Thomas,44.93992412,-93.19278225,15
30156,Lake Nokomis,44.915957,-93.242761,23
30157,Lake Harriet Bandshell,44.92936,-93.30713,25
30158,Lake Street & Knox Ave S,44.9485,-93.305209,41
30159,Fort Snelling State Park,44.890527,-93.18237,19
30160,Dupont Ave S & W 29th Street,44.949699,-93.293129,15
30161,27th Ave S & Minnehaha Ave,44.947329,-93.233092,15
30162,Mississippi River Blvd & Summit Ave,44.940288,-93.197997,15
30163,38th Street Light Rail Station,44.93434,-93.229338,15
30164,Cleveland Ave S & Highland Parkway,44.919593,-93.187264,15
30165,Upton Ave S & Sheridan Ave S,44.92515,-93.314597,15
30166,W 36th Street & W Calhoun Parkway,44.937817,-93.320212,19
30167,E 38th Street & 42nd Ave S,44.9342,-93.2125,15
30168,Marshall Street NE & Lowry Ave,45.01312,-93.27166,15
30169,Marshall Street NE & 18th Ave NE,45.006229,-93.271571,15
30170,Nicollet Island,44.985388,-93.26145,15
30171,SE 3rd Ave & University Ave SE,44.985465,-93.252102,15
30172,2nd Street SE & 5th Ave SE,44.983321,-93.249653,15
30173,22nd Ave NE & California Street NE,45.010119,-93.268598,15
30174,Hiawatha Ave & E 50th Street,44.91294254,-93.21014017,15
30175,18th Ave Trail & 2nd Street NE,45.006321,-93.266553,15
30176,Washington Ave N & Cedar Lake Trail,44.985406,-93.274031,19
30177,3rd Street NE & Lowry Ave NE,45.01304,-93.264573,15
30178,5th Street NE & 1st Ave NE,44.990328,-93.254295,15
30179,Park Ave & 4th Street S,44.97589503,-93.25998902,27
30180,3rd Street N & 8th Ave N,44.987996,-93.279854,19
30181,5th Ave N & 4th Street N,44.98446,-93.277234,23
30182,Sanford Hall,44.980831,-93.240282,23
30183,Weisman Art Museum,44.973607,-93.237254,19
30184,Hennepin Ave & S Washington Ave,44.981895,-93.269195,23
30185,5th Street NE & 3rd Ave NE,44.991821,-93.255558,15
30186,S 5th Street & Nicollet Mall,44.97866518,-93.27050328,19
30187,Groveland Ave & Clifton Place,44.966145,-93.286294,19
30188,S 8th Street & 2nd Ave S,44.974795,-93.270649,19
30189,Delaware Street SE & 26th Ave SE,44.972128,-93.221021,19
30190,7th Street SE & 10th Ave SE,44.985576,-93.238743,15
30191,University Ave SE & Bedford Street SE,44.96876,-93.21003,15
30192,Cooke Hall,44.976303,-93.230029,15
30193,Mariucci Arena,44.977899,-93.226629,25
30194,23rd Ave SE & University Ave SE,44.974397,-93.223002,23
30195,Willey Hall,44.972404,-93.242891,23
30196,Civil Engineering,44.976096,-93.231958,23
30197,15th Ave SE & 4th Street SE,44.979878,-93.234739,23
30198,Bohemian Flats,44.976223,-93.2416,15
30199,Hidden Falls Park,44.90700063,-93.19143176,19
30201,Elwood Ave N & Oak Park Ave N,44.98716,-93.301944,15
30202,Mill City Quarter,44.9805,-93.2618,23
30203,W 50th Street & W Minnehaha Pkwy,44.912125,-93.298552,23
30204,NE Central Ave & NE 14th Ave,45.002526,-93.247162,15
NRHQ,Nice Ride World Headquarters,44.953566,-93.220066,7
